"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","172184"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4036"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","2884"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1152"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4117"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","3058"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1059"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas ir kaimas","asmenys","4128"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","3078"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1050"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","40944"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","26287"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14657"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","41409"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","27203"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14206"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas ir kaimas","asmenys","41238"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","26916"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14322"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29356"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","10437"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","18919"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29525"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","11423"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","18102"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29235"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","11487"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","17748"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","292613"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","292613"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
